firma_adi;adres;telefon;website;domain;birlik
BEMEX METAL SANAYI VE TICARET ANONIM SIRKETI;IZZET PASA MAH. YENI YOL CAD. NUROL TOWER NO: 3 IÇKAPI NO: 303 ŞİŞLİ İSTANBUL;(212) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
E.G.O. ELEKTRİKLİ ALETLER SAN. AŞ;ERGENE 1 O.S.B. VAKIFLAR OSB MAH. İSTANBUL CAD. NO:11/A ERGENE TEKİRDAĞ TEKİRDAĞ;(282) 6846800;www.egoproducts.com.tr;egoproducts.com.tr;ÇİB - Çelik İhracatçıları Birliği
ÖZGÜN İNŞ. LTD. ŞTİ. NUROL İNŞ. A.Ş. ADİ ORTAKLIĞI;GAYRETTEPE MH GÖNENOĞLU SK NO :7 BEŞİKTAŞ İSTANBUL;(212) 2753737;www.ozguntr.com;ozguntr.com;ÇİB - Çelik İhracatçıları Birliği
SIEX YANGIN SÖNDÜRME SİSTEMLERİ LİMİTED ŞİRKETİ;MEHMET AKİF ERSOY MAHALLESİ 274. SOKAK NO:1 A BLOK KAT11 D81 YENİMAHALLE ANKARA;(312) 4650196;www.komtes.com;komtes.com;ÇİB - Çelik İhracatçıları Birliği
TEKNİKMARKET CİVATA VE HIRDAVAT SAN TİC LTD ŞTİ.;FERHATPAŞA MAHALLESİ KARADENİZ CADDESİ NO:26 ATAŞEHİR İSTANBUL;(216) 4719110;http://www.teknikmarket.com;teknikmarket.com;ÇİB - Çelik İhracatçıları Birliği
NOWELL BOYA KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ESENTEPE MAH. UĞUR CAD. TOPUZLAR GRUPKAPI NO:21 /1 KARTAL İSTANBUL;(216) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
YÜKSEL KADRİYE TAŞKIN;TOPCU CESMESI SOK.NO.11 EYÜP İSTANBUL;02126135353;;;ÇİB - Çelik İhracatçıları Birliği
KARTEK METALURJİ TALAŞLI VE TALAŞŞSIZ İML. SAN. VE TİC. LTD. ŞTİ.;YEŞİLBAYIR MAH. PİRİ REİS CAD. HADIMKÖY YOLU NO:3ÇATALCA/İSTANBUL ÇATALCA İSTANBUL;(212) 7711378;;;ÇİB - Çelik İhracatçıları Birliği
CAMBRO ÖZAY PLASTIK SAN.VE TIC A.Ş.;GEBZE PLASTIKÇILER ORG.SN.BÖL.12.CAD.111.SOKAK GEBZE KOCAELİ;02627512940;www.ozaytray.com;ozaytray.com;ÇİB - Çelik İhracatçıları Birliği
ART GLOBAL DIS TIC LTD STI;YAYLA MAHALLESİ IRMAK SOKAK NO:2 İÇ KAPI NO:21 TUZLA İSTANBUL;(216) 0000000;www.artglobal.com;artglobal.com;ÇİB - Çelik İhracatçıları Birliği
LAMPRE TURÇELİK METAL SAN.VE TİC.LTD.ŞTİ.;DAVUTPAŞA CAD LATİFAĞA SOK GÜRÜN ÇIKMAZINO 5 TOPKAPI ZEYTİNBURNU İSTANBUL;(212) 4823355;;;ÇİB - Çelik İhracatçıları Birliği
