firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
AKSUVİTAL DOĞAL ÜRÜNLER GIDA SAN. VE TİC. A.Ş.;KAVAKLI MAH. KUZEY CAD. NO:5  BEYLİKDÜZÜ / İSTANBUL;İSTANBUL;BEYLİKDÜZÜ;(212) 6715547;www.aksuvital.com.tr;aksuvital.com.tr;İİB-SU ÜRÜNLERİ
DOĞA DAMIZLIK HAYVANCILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ;BALKAN MAH. HASANAĞA CAD. NO:8/1;BURSA;NİLÜFER;(224) 4702700;www.dogadamizlik.com;dogadamizlik.com;İİB-SU ÜRÜNLERİ
SADIKLAR SOĞUK HAVA TESİSLERİ VE SU ÜRÜNLERİ SAN. TİC. LTD. ŞTİ.;KEMER KAYA MAH. ÇARŞI SK. 3/9 ;TRABZON;ORTAHİSAR;(462) 3266016;www.sadiklar.com;sadiklar.com;İİB-SU ÜRÜNLERİ
TELLİOĞLU YEM-GIDA ENTEGRE TESİSLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;YENİKÖY MAH.YENİKÖY 51 SOK. TELLİOĞLU UN NO:180;BALIKESIR;KARESİ;(266) 2461450;www.tellioglugida.com.tr;tellioglugida.com.tr;İİB-SU ÜRÜNLERİ
BEŞLER ET GIDA SAN.VE TİC.A.Ş.;KEMERBURGAZ CAD.NO:76;İSTANBUL;KAĞITHANE;(212) 3218300;www.beslersucuk.com;beslersucuk.com;İİB-SU ÜRÜNLERİ
ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET ANONİM ŞİRKETİ;HACI AHMET ŞARKÖY OSB 1.SOK.NO:1/1;BALIKESIR;BURHANİYE;(212) 5451919;www.altinkilic.com;altinkilic.com;İİB-SU ÜRÜNLERİ
ARIKENT GIDA İNŞ TUR SAN TİC AŞ;İKİTELLİ  GİYİM SANATKARLARI SİTESİ 4 ADA A BLOK NO 50;İSTANBUL;BAŞAKŞEHİR;(212) 6719101;www.arıkentkovan.com;xn--arkentkovan-0zb.com;İİB-SU ÜRÜNLERİ
FİSHARK SU ÜRÜNLERİ ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;29 EKİM MAH.9218 SOK.NO:4;İZMİR;TORBALI;(232) 8538666;www.pentaseafood.com;pentaseafood.com;İİB-SU ÜRÜNLERİ
MURATBEY GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;KOCATEPE MAH. GÜMRÜK İSKELESİ CAD. MEGA CENTER A BLOK NO:89/1242-1250;İSTANBUL;BAYRAMPAŞA;(212) 6407597;www.muratbey.com.tr;muratbey.com.tr;İİB-SU ÜRÜNLERİ
ULUBAY SOĞUK DEPO İŞLETMECİLİĞİ VE TİCARET LTD. ŞTİ.;GAZİYAKUP BEY MAH. 1.ORDU CADDESİ NO:213;ÇANAKKALE;LAPSEKİ;(286) 5325029;www.ulubaytr.com;ulubaytr.com;İİB-SU ÜRÜNLERİ
