firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
CONTINENTAL CONTACT İÇ VE DIŞ TİC.LTD.ŞTİ.;HOCAPAŞA MAH. İSTASYON ARKASI SOK.SERDAR HAN 21 1;İSTANBUL;FATİH;(212) 5148077;;;İİB-SU ÜRÜNLERİ
VİTALİN ULUS. GIDA VE KİMYA TİC.LTD.ŞTİ;BÜYÜKDERE MAH. BOSTAN  SOK NO:5 SARIYER İST;İSTANBUL;SARIYER;(212) 0000000;;;İİB-SU ÜRÜNLERİ
KESİMHANE HAYVANCILIK VE TAR. ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.;SIRAMEŞELER MAH.MUDANYA CAD.OKUL SOK.NO:5;BURSA;OSMANGAZİ;(224) 2353739;www.gurtav.com;gurtav.com;İİB-SU ÜRÜNLERİ
BOLCA HİNDİ ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ;BOLCA HINDI TESISLERI DOĞANCI MAH. MUDURNU CAD. NO:61;BOLU;MERKEZ;(374) 2534848;www.bolcahindi.com.tr;bolcahindi.com.tr;İİB-SU ÜRÜNLERİ
İDOS GIDA A.Ş;YAHYA KAPTAN MH ÖZYILDIRIM SK NO:16/36;KOCAELI;İZMİT;(262) 0000000;;;İİB-SU ÜRÜNLERİ
ISTANBUL GIDA SAN.VE TIC.A.Ş.; MİMARSİNANMAH ESKİ SİLİVRİ CAD. NO:8/2;İSTANBUL;BÜYÜKÇEKMECE;(212) 8614343;www.yurtkonserve.com.tr;yurtkonserve.com.tr;İİB-SU ÜRÜNLERİ
KESKİNOĞLU TAVUKÇULUK VE DAMIZLIK İŞLETMELERİ SANAYİ TİCARET ANONİM ŞİRKETİ;KAYALIOĞLU KASABASI;MANISA;AKHİSAR;(236) 4272570;www.keskinoglu.com.tr;keskinoglu.com.tr;İİB-SU ÜRÜNLERİ
FİMAR MERMER MADENCİLİK İNŞAAT AKARYAKIT TURZ. TAR. SERA. HAY. GIDA ÜRÜNLERİ TİCARET SANAYİ A.Ş.;ATATÜRK CAD. ESKİ SANAYİ KARŞISI KAPTANLAR SİTESİ NO:4;SIVAS;SİVAS;(346) 2225000;www.fimar.com.tr;fimar.com.tr;İİB-SU ÜRÜNLERİ
AN GIDA ÜRÜNLERİ ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ;BARBAROS HAYRETTIN PASA MAH.1058 SOK NO 38;İSTANBUL; ;6187080/5HAT;;;İİB-SU ÜRÜNLERİ
MAİA DIŞ TİCARET A.Ş.;ŞENLİKKÖY MAH.YEŞİLKÖY CAD.KOSOVA ET LOK                   .;İSTANBUL;BAKIRKÖY;(212) 6637879;;;İİB-SU ÜRÜNLERİ
İNTERASYA DIŞ TİC.A.Ş;EBUSUUD CAD. TELLİOĞLU İŞHANI 36/3;İSTANBUL;FATİH;(212) 5271883;www.taskent.biz;taskent.biz;İİB-SU ÜRÜNLERİ
BANVİT BANDIRMA VİTAMİNLİ YEM SAN. A. Ş.;BALIKKESIR ASFALTI 8.KM;BALIKESIR;BANDIRMA;02667338600;www.banvit.com;banvit.com;İİB-SU ÜRÜNLERİ
SAMSUN BALIKÇILIK SU ÜRÜNLERİ HAYVANCILIK İNŞAAT TURİZM PLASTİK MEŞRUBAT SAN.VE TİC.LTD.ŞTİ.;KIRAN MAH.TOYBELEN YOLU 11. KM NO:328/2;SAMSUN;İLKADIM;(362) 4200843;www.kiyakkardesler.com.tr;kiyakkardesler.com.tr;İİB-SU ÜRÜNLERİ
YÖRÜKOĞLU SÜT VE ÜR.SAN.TİC.A.Ş.;ORGANIZE SANAYI BÖLGESI 2.CAD.;ANTALYA;DÖŞEMEALTI;(242) 2581135;www.yorukoglusut.com.tr;yorukoglusut.com.tr;İİB-SU ÜRÜNLERİ
ORBİT ENDÜSTRİ ÜRÜNLERİ DIŞ TİC LTD ŞTİ;MADEN MH ÖZ DEREİÇİ CD NO 99 C3;İSTANBUL;SARIYER;(212) 0000000;;;İİB-SU ÜRÜNLERİ
FYNE GIDA TİC.LTD.ŞTİ;YENİŞEHİR MAH. DEMOKRASİ BLV. NO:54/A;KOCAELI;İZMİT;;;;İİB-SU ÜRÜNLERİ
HVM SÜLÜK İLAÇ SAĞLIK SAN TİC.LTD.ŞTİ;BULGURLU MAH. İSKENDER SOK NO:9/A;İSTANBUL;ÜSKÜDAR;;;;İİB-SU ÜRÜNLERİ
CLK WORLDWIDE LOJİSTİK VE TİCARET ANONİM ŞİRKETİ;KERESTECİLER SİTESİ FATİH CADSELVİ SOKAK NO:24;İSTANBUL;GÜNGÖREN;(212) 4544646;;;İİB-SU ÜRÜNLERİ
MILKON SÜT VE GIDA MAM.SAN.TIC A.Ş.; BARBAROS MH.EVREN CDÇİM SK.NO:15/2;İSTANBUL;ATAŞEHİR;(216) 3174978;;;İİB-SU ÜRÜNLERİ
