"Kaynak";"Kategori";"FirmaAdi";"WebSitesi";"Domain"
"IdeaSoft";"ic giyim magazalari";"vedettekorse";"http://www.vedettekorse.com/";"vedettekorse.com"
"IdeaSoft";"ic giyim magazalari";"modawella";"http://www.modawella.com/";"modawella.com"
"IdeaSoft";"isitma sogutma";"kumtelsatis";"http://www.kumtelsatis.com/";"kumtelsatis.com"
"IdeaSoft";"isitma sogutma";"odeme ferroli";"http://odeme.ferroli.com.tr/";"odeme.ferroli.com.tr"
"IdeaSoft";"isitma sogutma";"intekticaret";"http://www.intekticaret.com/";"intekticaret.com"
"IdeaSoft";"isitma sogutma";"kombikazanmarket";"http://www.kombikazanmarket.com/";"kombikazanmarket.com"
"IdeaSoft";"isitma sogutma";"kombidepo";"http://www.kombidepo.com/";"kombidepo.com"
"IdeaSoft";"isitma sogutma";"klimaya";"http://www.klimaya.com/";"klimaya.com"
"IdeaSoft";"isitma sogutma";"kombiofisi";"http://www.kombiofisi.com/";"kombiofisi.com"
"IdeaSoft";"isitma sogutma";"cuhadaroglu";"http://www.cuhadaroglu.net/";"cuhadaroglu.net"
"IdeaSoft";"kisisel bakim kozmetik";"sunadumankaya";"http://www.sunadumankaya.com.tr/";"sunadumankaya.com.tr"
"IdeaSoft";"kisisel bakim kozmetik";"tuaturkey";"http://www.tuaturkey.com/";"tuaturkey.com"
"IdeaSoft";"kisisel bakim kozmetik";"parfumgezegeni";"http://www.parfumgezegeni.com/";"parfumgezegeni.com"
"IdeaSoft";"kisisel bakim kozmetik";"kuaforsepeti";"http://www.kuaforsepeti.com/";"kuaforsepeti.com"
"IdeaSoft";"kisisel bakim kozmetik";"e sansiro";"http://www.e-sansiro.com/";"e-sansiro.com"
"IdeaSoft";"kisisel bakim kozmetik";"bizceolur";"http://www.bizceolur.com/";"bizceolur.com"
"IdeaSoft";"kisisel bakim kozmetik";"missliva";"http://www.missliva.com/";"missliva.com"
"IdeaSoft";"kisisel bakim kozmetik";"fenjilyan";"http://www.fenjilyan.com/";"fenjilyan.com"
"IdeaSoft";"kisisel bakim kozmetik";"limuna";"http://www.limuna.com/";"limuna.com"
"IdeaSoft";"kisisel bakim kozmetik";"lolabomb";"http://www.lolabomb.com/";"lolabomb.com"
"IdeaSoft";"kitap yayinevi";"tr masumiyetmuzesi";"http://tr.masumiyetmuzesi.org/";"tr.masumiyetmuzesi.org"
"IdeaSoft";"kitap yayinevi";"benlikitap";"http://www.benlikitap.com/";"benlikitap.com"
"IdeaSoft";"kitap yayinevi";"dmyayincilik";"http://www.dmyayincilik.com/";"dmyayincilik.com"
"IdeaSoft";"kitap yayinevi";"sozunozumarket";"http://www.sozunozumarket.com/index.php";"sozunozumarket.com"
"IdeaSoft";"kitap yayinevi";"acikitabevi";"http://www.acikitabevi.com/";"acikitabevi.com"
"IdeaSoft";"kitap yayinevi";"kitapyayinlari";"http://www.kitapyayinlari.com/";"kitapyayinlari.com"
"IdeaSoft";"kitap yayinevi";"adeda";"http://www.adeda.com.tr/";"adeda.com.tr"
"IdeaSoft";"kitap yayinevi";"karacankitap";"http://www.karacankitap.com/";"karacankitap.com"
"IdeaSoft";"kitap yayinevi";"ganj";"http://www.ganj.com.tr/";"ganj.com.tr"
"IdeaSoft";"kitap yayinevi";"kuzeykitabevi";"http://www.kuzeykitabevi.com/";"kuzeykitabevi.com"
"IdeaSoft";"konsept tasarimlar";"shop koleksiyon";"http://shop.koleksiyon.com.tr/";"shop.koleksiyon.com.tr"
"IdeaSoft";"konsept tasarimlar";"modalife";"http://www.modalife.com/";"modalife.com"
"IdeaSoft";"konsept tasarimlar";"bayi petline";"http://bayi.petline.com.tr/";"bayi.petline.com.tr"
"IdeaSoft";"konsept tasarimlar";"online turkishexpress";"http://online.turkishexpress.com.tr/";"online.turkishexpress.com.tr"
"IdeaSoft";"konsept tasarimlar";"armetr";"http://www.armetr.com/";"armetr.com"
"IdeaSoft";"konsept tasarimlar";"aksesuaraski";"http://www.aksesuaraski.com/";"aksesuaraski.com"
"IdeaSoft";"konsept tasarimlar";"gozlukburda";"http://www.gozlukburda.com/";"gozlukburda.com"
"IdeaSoft";"konsept tasarimlar";"clubsafari";"http://www.clubsafari.com.tr/";"clubsafari.com.tr"
"IdeaSoft";"mobilya";"zivellamarket";"http://www.zivellamarket.com/";"zivellamarket.com"
"IdeaSoft";"mobilya";"ofiskoltuksepeti";"http://www.ofiskoltuksepeti.com/";"ofiskoltuksepeti.com"
"IdeaSoft";"mobilya";"bymobilyacim";"http://www.bymobilyacim.com/";"bymobilyacim.com"
"IdeaSoft";"mobilya";"ofisimburada";"http://www.ofisimburada.com/";"ofisimburada.com"
"IdeaSoft";"mobilya";"lettamobilya";"http://www.lettamobilya.com/";"lettamobilya.com"
"IdeaSoft";"mobilya";"royalgarden";"http://www.royalgarden.com.tr/";"royalgarden.com.tr"
"IdeaSoft";"mobilya";"sadeceonda";"http://www.sadeceonda.com/";"sadeceonda.com"
"IdeaSoft";"motosiklet ekipmanlari";"motomagaza";"http://www.motomagaza.com/";"motomagaza.com"
"IdeaSoft";"motosiklet ekipmanlari";"motosikletciyiz";"http://www.motosikletciyiz.com/";"motosikletciyiz.com"
"IdeaSoft";"motosiklet ekipmanlari";"motosiklets";"http://www.motosiklets.com/";"motosiklets.com"
"IdeaSoft";"motosiklet ekipmanlari";"motosikletstore";"http://www.motosikletstore.com/";"motosikletstore.com"
"IdeaSoft";"motosiklet ekipmanlari";"motoraksesuar";"http://www.motoraksesuar.com/";"motoraksesuar.com"
"IdeaSoft";"motosiklet ekipmanlari";"brnmotor";"http://www.brnmotor.com.tr/";"brnmotor.com.tr"
"IdeaSoft";"motosiklet ekipmanlari";"mototalonline";"http://www.mototalonline.com/";"mototalonline.com"
"IdeaSoft";"motosiklet ekipmanlari";"motorcumarketi";"http://www.motorcumarketi.com/";"motorcumarketi.com"
"IdeaSoft";"motosiklet ekipmanlari";"motorsepeti";"http://www.motorsepeti.com.tr/";"motorsepeti.com.tr"
"IdeaSoft";"motosiklet ekipmanlari";"store spormoto";"http://store.spormoto.com/";"store.spormoto.com"
"IdeaSoft";"muzik enstruman";"basmarket";"http://www.basmarket.com/";"basmarket.com"
"IdeaSoft";"muzik enstruman";"akalinmuzik";"http://www.akalinmuzik.com/";"akalinmuzik.com"
"IdeaSoft";"muzik enstruman";"pandamuzik";"http://www.pandamuzik.com/";"pandamuzik.com"
"IdeaSoft";"muzik enstruman";"muzikborsasi";"http://www.muzikborsasi.com/";"muzikborsasi.com"
"IdeaSoft";"muzik enstruman";"batimuzikmarket";"http://www.batimuzikmarket.com/";"batimuzikmarket.com"
"IdeaSoft";"muzik enstruman";"yenidunya";"http://www.yenidunya.com/";"yenidunya.com"
